tirage_id,date_tirage,numero_1,numero_2,numero_3,numero_4,numero_5,numero_chance
293,2023-05-22,43.0,33.0,42.0,22.0,37.0,4.0
294,2023-05-20,25.0,18.0,3.0,8.0,37.0,6.0
295,2023-05-17,8.0,2.0,11.0,47.0,40.0,7.0
296,2023-05-15,12.0,9.0,48.0,7.0,29.0,4.0
297,2023-05-13,43.0,6.0,25.0,34.0,9.0,5.0
298,2023-05-10,45.0,12.0,44.0,15.0,9.0,1.0
299,2023-05-08,43.0,47.0,16.0,39.0,4.0,5.0
300,2023-05-06,47.0,25.0,42.0,2.0,30.0,10.0
301,2023-05-03,17.0,23.0,13.0,20.0,45.0,8.0
302,2023-05-01,15.0,41.0,33.0,44.0,5.0,10.0
303,2023-04-29,40.0,48.0,36.0,22.0,3.0,5.0
304,2023-04-26,3.0,18.0,24.0,11.0,14.0,10.0
305,2023-04-24,41.0,23.0,25.0,1.0,49.0,2.0
306,2023-04-22,12.0,26.0,48.0,13.0,35.0,1.0
307,2023-04-19,43.0,41.0,5.0,46.0,34.0,5.0
308,2023-04-17,3.0,18.0,42.0,13.0,43.0,9.0
309,2023-04-15,32.0,17.0,15.0,19.0,29.0,10.0
310,2023-04-12,18.0,26.0,10.0,30.0,15.0,7.0
311,2023-04-10,45.0,24.0,15.0,10.0,49.0,2.0
312,2023-04-08,19.0,35.0,48.0,3.0,42.0,10.0
313,2023-04-05,31.0,33.0,16.0,29.0,39.0,2.0
314,2023-04-03,49.0,15.0,39.0,31.0,46.0,4.0
315,2023-04-01,44.0,48.0,17.0,12.0,35.0,8.0
316,2023-03-29,34.0,1.0,32.0,14.0,11.0,9.0
317,2023-03-27,1.0,11.0,23.0,41.0,34.0,9.0
318,2023-03-25,3.0,34.0,29.0,7.0,11.0,4.0
319,2023-03-22,24.0,38.0,33.0,12.0,20.0,2.0
320,2023-03-20,38.0,19.0,10.0,26.0,7.0,8.0
321,2023-03-18,7.0,31.0,8.0,48.0,32.0,5.0
322,2023-03-15,37.0,20.0,15.0,5.0,17.0,2.0
323,2023-03-13,47.0,45.0,35.0,42.0,19.0,2.0
324,2023-03-11,6.0,34.0,14.0,33.0,18.0,6.0
325,2023-03-08,10.0,7.0,46.0,16.0,35.0,5.0
326,2023-03-06,24.0,38.0,41.0,18.0,5.0,7.0
327,2023-03-04,42.0,40.0,35.0,25.0,12.0,6.0
328,2023-03-01,18.0,39.0,45.0,14.0,21.0,8.0
